GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AYV001,AZZ001,AZZ002,AZZ003,AZZ004,AZZ005,AZZ006,AZZ007,AZZ008,AZZ009,AZZ010
"G1303190","1900","Georgia","130","Wilkinson","3190","Wilkinson",2219,443,95,45,986,12,58,8,20,318,252
"G1303210","1900","Georgia","130","Worth","3210","Worth",3849,754,114,71,989,6,125,21,39,1521,175
"G1550015","1900","Hawaii Territory","155","Hawaii","0015","Hawaii",11085,398,25,42,185,19,1696,123,198,6471,686
"G1550075","1900","Hawaii Territory","155","Kauai","0075","Kauai",4775,6,0,0,18,3,297,23,32,3344,220
"G1550095","1900","Hawaii Territory","155","Maui","0095","Maui",5760,177,5,0,13,3,945,25,34,3573,185
"G1550115","1900","Hawaii Territory","155","Molokai","0115","Molokai",593,0,0,0,0,5,144,1,0,143,367
"G1550135","1900","Hawaii Territory","155","Niihau","0135","Niihau",32,0,0,0,0,0,0,0,0,32,0
"G1550155","1900","Hawaii Territory","155","Oahu","0155","Oahu",10121,212,38,29,136,12,1297,198,376,7171,856
"G1600010","1900","Idaho","160","Ada","0010","Ada",2361,337,191,1,209,8,430,203,17,853,148
"G1600050","1900","Idaho","160","Bannock","0050","Bannock",2296,831,47,44,36,10,450,55,97,619,101
"G1600070","1900","Idaho","160","Bear Lake","0070","Bear Lake",1332,593,69,2,41,7,346,34,1,192,42
"G1600110","1900","Idaho","160","Bingham","0110","Bingham",2040,777,305,86,153,8,269,38,54,245,93
"G1600130","1900","Idaho","160","Blaine","0130","Blaine",1200,346,42,15,56,13,332,28,17,209,145
"G1600150","1900","Idaho","160","Boise","0150","Boise",1191,341,32,1,16,0,475,11,3,190,92
"G1600270","1900","Idaho","160","Canyon","0270","Canyon",1637,521,208,5,170,20,241,47,23,349,51
"G1600310","1900","Idaho","160","Cassia","0310","Cassia",711,421,14,4,28,2,100,4,25,101,19
"G1600370","1900","Idaho","160","Custer","0370","Custer",753,147,26,1,18,4,191,2,22,204,102
"G1600390","1900","Idaho","160","Elmore","0390","Elmore",661,99,13,3,17,2,198,15,23,180,72
"G1600430","1900","Idaho","160","Fremont","0430","Fremont",2412,1042,265,13,83,9,506,50,2,275,147
"G1600490","1900","Idaho","160","Idaho","0490","Idaho",2469,1091,73,16,100,13,462,37,88,327,173
"G1600550","1900","Idaho","160","Kootenai","0550","Kootenai",2526,968,141,9,61,42,547,14,31,466,125
"G1600570","1900","Idaho","160","Latah","0570","Latah",2918,843,510,8,323,30,454,103,7,555,64
"G1600590","1900","Idaho","160","Lemhi","0590","Lemhi",1055,286,33,2,24,2,331,14,14,275,60
"G1600630","1900","Idaho","160","Lincoln","0630","Lincoln",362,125,15,1,31,9,68,6,1,60,29
"G1600690","1900","Idaho","160","Nez Perce","0690","Nez Perce",3410,1672,128,182,188,28,521,44,44,495,81
"G1600710","1900","Idaho","160","Oneida","0710","Oneida",1633,850,193,10,53,7,255,18,20,192,65
"G1600730","1900","Idaho","160","Owyhee","0730","Owyhee",1017,198,15,2,34,3,334,10,8,230,107
"G1600790","1900","Idaho","160","Shoshone","0790","Shoshone",2932,244,3,2,22,4,1112,30,10,1156,175
"G1600870","1900","Idaho","160","Washington","0870","Washington",1571,532,84,7,78,7,277,45,71,304,112
"G1609015","1900","Idaho","160","Coeur d'Alane Indian Reservation","9015","Coeur d'Alane Indian Reservation",,,,,,,,,,,
"G1609035","1900","Idaho","160","Fort Hall Indian Reservation","9035","Fort Hall Indian Reservation",,,,,,,,,,,
"G1609055","1900","Idaho","160","Lemhi Indian Reservation","9055","Lemhi Indian Reservation",,,,,,,,,,,
"G1700010","1900","Illinois","170","Adams","0010","Adams",13771,1407,1233,33,1475,2,2949,1455,82,5764,193
"G1700030","1900","Illinois","170","Alexander","0030","Alexander",4058,178,184,68,388,13,587,199,230,2352,196
"G1700050","1900","Illinois","170","Bond","0050","Bond",3429,655,518,98,630,6,438,224,209,655,50
"G1700070","1900","Illinois","170","Boone","0070","Boone",3557,291,331,133,567,3,613,371,302,957,47
"G1700090","1900","Illinois","170","Brown","0090","Brown",2621,580,507,16,531,12,416,104,14,446,24
"G1700110","1900","Illinois","170","Bureau","0110","Bureau",8543,1082,715,26,1342,8,2380,491,60,2392,154
"G1700130","1900","Illinois","170","Calhoun","0130","Calhoun",1804,500,257,16,363,12,199,55,11,354,30
"G1700150","1900","Illinois","170","Carroll","0150","Carroll",4316,575,604,28,629,10,1003,325,56,1072,91
"G1700170","1900","Illinois","170","Cass","0170","Cass",3740,406,293,73,579,10,821,477,48,1084,31
"G1700190","1900","Illinois","170","Champaign","0190","Champaign",10252,1147,984,62,1888,24,2413,1030,99,2564,255
"G1700210","1900","Illinois","170","Christian","0210","Christian",7063,738,660,47,1653,20,1283,772,26,1800,137
"G1700230","1900","Illinois","170","Clark","0230","Clark",5366,1548,823,52,989,16,730,371,53,755,79
"G1700250","1900","Illinois","170","Clay","0250","Clay",4186,1364,618,57,734,68,486,233,21,511,171
"G1700270","1900","Illinois","170","Clinton","0270","Clinton",3807,695,352,30,901,4,815,182,17,890,51
"G1700290","1900","Illinois","170","Coles","0290","Coles",7316,912,558,112,1134,13,1625,833,60,2095,172
"G1700310","1900","Illinois","170","Cook","0310","Cook",219632,2046,642,308,2932,49,45247,48295,3655,268476,9842
"G1700330","1900","Illinois","170","Crawford","0330","Crawford",4189,1267,536,61,794,22,590,195,34,669,49
"G1700350","1900","Illinois","170","Cumberland","0350","Cumberland",3541,1210,546,12,715,4,412,115,39,454,55
"G1700370","1900","Illinois","170","DeKalb","0370","De Kalb",6949,689,622,44,1157,46,1747,695,234,1718,212
"G1700390","1900","Illinois","170","De Witt","0390","De Witt",4048,432,316,22,864,25,903,276,52,1090,179
"G1700410","1900","Illinois","170","Douglas","0410","Douglas",4106,634,408,34,934,20,746,309,38,910,91
"G1700430","1900","Illinois","170","Du Page","0430","Du Page",5632,567,194,82,820,14,1604,699,91,1664,119
"G1700450","1900","Illinois","170","Edgar","0450","Edgar",6262,1110,647,39,1262,23,1125,497,48,1478,126
"G1700470","1900","Illinois","170","Edwards","0470","Edwards",2298,504,442,23,265,4,432,192,27,367,55
"G1700490","1900","Illinois","170","Effingham","0490","Effingham",4300,1042,617,105,622,15,775,325,54,684,73
"G1700510","1900","Illinois","170","Fayette","0510","Fayette",5830,1577,1079,41,1354,30,637,254,24,865,75
"G1700530","1900","Illinois","170","Ford","0530","Ford",3798,298,361,19,1087,24,977,293,12,669,99
"G1700550","1900","Illinois","170","Franklin","0550","Franklin",3929,1450,685,42,803,12,348,85,14,460,66
"G1700570","1900","Illinois","170","Fulton","0570","Fulton",10537,1423,1130,82,1650,22,2427,863,74,2807,186
"G1700590","1900","Illinois","170","Gallatin","0590","Gallatin",3146,680,264,79,690,7,497,79,20,807,60
"G1700610","1900","Illinois","170","Greene","0610","Greene",5046,716,466,27,1028,28,1016,286,31,1394,109
"G1700630","1900","Illinois","170","Grundy","0630","Grundy",4879,364,289,72,852,20,1651,272,72,1259,60
"G1700650","1900","Illinois","170","Hamilton","0650","Hamilton",4087,1401,856,27,909,23,270,81,61,444,77
"G1700670","1900","Illinois","170","Hancock","0670","Hancock",7690,1419,1103,36,1292,15,1809,553,41,1415,33
"G1700690","1900","Illinois","170","Hardin","0690","Hardin",1495,487,207,6,265,9,168,19,18,309,34
"G1700710","1900","Illinois","170","Henderson","0710","Henderson",2403,433,340,20,516,5,493,97,28,460,20
"G1700730","1900","Illinois","170","Henry","0730","Henry",8564,972,816,22,1399,17,2531,779,57,2059,128
"G1700750","1900","Illinois","170","Iroquois","0750","Iroquois",8060,930,1067,51,2094,52,1762,540,69,1342,180
"G1700770","1900","Illinois","170","Jackson","0770","Jackson",6895,1000,543,243,934,24,1088,381,117,2569,169
"G1700790","1900","Illinois","170","Jasper","0790","Jasper",4142,1395,882,23,687,20,454,191,21,458,53
"G1700810","1900","Illinois","170","Jefferson","0810","Jefferson",5842,2059,759,45,1079,58,561,207,70,1006,75
"G1700830","1900","Illinois","170","Jersey","0830","Jersey",3151,440,438,97,562,16,577,238,30,722,50
"G1700850","1900","Illinois","170","Jo Daviess","0850","Jo Daviess",5481,863,959,45,524,18,1674,258,45,1169,75
"G1700870","1900","Illinois","170","Johnson","0870","Johnson",3099,1035,444,50,513,18,158,47,164,621,59
"G1700890","1900","Illinois","170","Kane","0890","Kane",16165,726,532,76,1061,36,5127,2359,94,6764,465
"G1700910","1900","Illinois","170","Kankakee","0910","Kankakee",7247,805,609,62,994,30,1906,682,74,2111,154
"G1700930","1900","Illinois","170","Kendall","0930","Kendall",2627,358,300,90,546,44,544,141,31,496,84
"G1700950","1900","Illinois","170","Knox","0950","Knox",9757,935,693,146,1180,59,2477,1350,184,2822,265
"G1700970","1900","Illinois","170","Lake","0970","Lake",6885,806,464,170,817,10,1516,705,115,2339,232
"G1700990","1900","Illinois","170","La Salle","0990","La Salle",18070,1412,981,41,2054,16,5863,2102,140,5535,290
"G1701010","1900","Illinois","170","Lawrence","1010","Lawrence",3521,940,507,7,680,15,476,218,51,578,84
"G1701030","1900","Illinois","170","Lee","1030","Lee",6426,812,778,19,1131,28,1566,530,32,1572,103
"G1701050","1900","Illinois","170","Livingston","1050","Livingston",8614,1052,814,35,2149,12,2232,534,33,1677,120
"G1701070","1900","Illinois","170","Logan","1070","Logan",5705,530,405,88,1337,25,1181,463,243,1351,151
"G1701090","1900","Illinois","170","McDonough","1090","Mcdonough",6517,935,737,28,1074,12,1671,528,30,1523,41
"G1701110","1900","Illinois","170","McHenry","1110","Mchenry",6457,842,611,102,1221,24,1620,449,42,1411,164
"G1701130","1900","Illinois","170","McLean","1130","Mclean",14553,1412,850,65,2331,22,4008,1371,112,4377,325
"G1701150","1900","Illinois","170","Macon","1150","Macon",9693,723,487,47,1368,43,2172,939,81,3872,224
"G1701170","1900","Illinois","170","Macoupin","1170","Macoupin",9079,1316,1079,62,1638,20,2008,737,70,2164,151
"G1701190","1900","Illinois","170","Madison","1190","Madison",12417,1151,786,29,1586,23,2851,1190,42,5067,270
"G1701210","1900","Illinois","170","Marion","1210","Marion",6557,1824,700,82,728,5,1113,482,135,1474,100
"G1701230","1900","Illinois","170","Marshall","1230","Marshall",3522,392,200,26,743,17,1015,99,47,964,49
"G1701250","1900","Illinois","170","Mason","1250","Mason",3844,416,319,63,914,14,840,313,59,813,110
"G1701270","1900","Illinois","170","Massac","1270","Massac",2806,540,370,15,300,5,614,127,22,827,78
"G1701290","1900","Illinois","170","Menard","1290","Menard",3025,428,280,18,551,9,569,251,16,906,53
"G1701310","1900","Illinois","170","Mercer","1310","Mercer",4680,748,472,38,805,10,1199,259,31,1067,112
"G1701330","1900","Illinois","170","Monroe","1330","Monroe",2687,532,258,12,742,23,471,131,36,549,37
"G1701350","1900","Illinois","170","Montgomery","1350","Montgomery",6826,1161,687,47,1288,32,1404,721,42,1394,134
"G1701370","1900","Illinois","170","Morgan","1370","Morgan",7181,927,625,42,1011,23,1734,593,54,2142,173
"G1701390","1900","Illinois","170","Moultrie","1390","Moultrie",3301,432,309,152,768,12,538,232,71,764,50
"G1701410","1900","Illinois","170","Ogle","1410","Ogle",6556,966,634,135,1276,34,1636,369,81,1316,220
"G1701430","1900","Illinois","170","Peoria","1430","Peoria",17895,913,750,33,1072,21,3933,2368,234,8920,472
"G1701450","1900","Illinois","170","Perry","1450","Perry",4199,796,580,17,531,6,974,223,31,1043,32
"G1701470","1900","Illinois","170","Piatt","1470","Piatt",3846,432,332,46,938,11,876,262,44,844,69
"G1701490","1900","Illinois","170","Pike","1490","Pike",7148,1227,1014,36,1477,41,1295,379,102,1507,167
"G1701510","1900","Illinois","170","Pope","1510","Pope",2656,1046,444,20,484,4,215,38,19,384,19
"G1701530","1900","Illinois","170","Pulaski","1530","Pulaski",3013,524,274,21,413,10,369,133,36,1161,164
"G1701550","1900","Illinois","170","Putnam","1550","Putnam",1000,158,147,6,225,1,217,39,14,176,26
"G1701570","1900","Illinois","170","Randolph","1570","Randolph",5423,1088,613,23,757,16,1164,410,54,1251,151
"G1701590","1900","Illinois","170","Richland","1590","Richland",3511,1059,572,16,510,21,525,280,23,551,35
"G1701610","1900","Illinois","170","Rock Island","1610","Rock Island",10894,827,546,13,649,13,2875,1649,122,4816,266
"G1701630","1900","Illinois","170","St Clair","1630","St Clair",16844,1179,483,41,1590,18,3458,1663,241,8555,573
"G1701650","1900","Illinois","170","Saline","1650","Saline",4354,1304,584,45,977,15,537,71,22,823,66
"G1701670","1900","Illinois","170","Sangamon","1670","Sangamon",14754,1184,743,97,1790,25,3561,1709,94,5650,448
"G1701690","1900","Illinois","170","Schuyler","1690","Schuyler",3507,698,730,18,711,11,463,268,16,636,12
"G1701710","1900","Illinois","170","Scott","1710","Scott",2281,366,298,24,427,20,420,124,45,518,61
"G1701730","1900","Illinois","170","Shelby","1730","Shelby",6946,1544,1036,33,1543,37,1062,472,20,1161,85
"G1701750","1900","Illinois","170","Stark","1750","Stark",2314,382,238,30,470,5,578,101,15,479,41
"G1701770","1900","Illinois","170","Stephenson","1770","Stephenson",7785,1011,980,35,856,49,1722,773,210,2117,203
"G1701790","1900","Illinois","170","Tazewell","1790","Tazewell",7052,910,478,62,1326,10,1638,615,66,1887,187
"G1701810","1900","Illinois","170","Union","1810","Union",4301,938,455,15,864,5,522,191,33,1205,135
"G1701830","1900","Illinois","170","Vermilion","1830","Vermilion",13774,1292,861,150,1768,35,2632,1936,168,5073,293
"G1701850","1900","Illinois","170","Wabash","1850","Wabash",2640,479,324,24,315,11,540,191,28,719,103
"G1701870","1900","Illinois","170","Warren","1870","Warren",5233,625,463,36,947,8,1291,443,44,1411,23
"G1701890","1900","Illinois","170","Washington","1890","Washington",3972,1050,548,22,876,8,734,125,19,578,58
"G1701910","1900","Illinois","170","Wayne","1910","Wayne",5657,1898,1139,69,1044,23,520,227,55,659,69
"G1701930","1900","Illinois","170","White","1930","White",5319,959,643,175,1074,19,778,237,178,1115,187
"G1701950","1900","Illinois","170","Whiteside","1950","Whiteside",7622,763,725,31,1256,18,2088,761,42,1919,115
"G1701970","1900","Illinois","170","Will","1970","Will",14168,1315,791,33,1332,71,3842,1834,158,5432,323
"G1701990","1900","Illinois","170","Williamson","1990","Williamson",5603,1634,629,48,874,26,665,259,67,1415,115
"G1702010","1900","Illinois","170","Winnebago","2010","Winnebago",9904,798,555,60,819,25,2357,1465,41,4770,239
"G1702030","1900","Illinois","170","Woodford","2030","Woodford",4643,661,306,45,1114,11,1253,188,22,955,99
"G1789015","1900","Indian Territory","178","Cherokee Nation","9015","Cherokee Nation",19704,3497,7,1397,9202,411,1147,54,616,2790,666
"G1789035","1900","Indian Territory","178","Chickasaw Nation","9035","Chickasaw Nation",25583,1300,33,738,14320,240,3482,107,919,3796,867
"G1789055","1900","Indian Territory","178","Choctaw Nation","9055","Choctaw Nation",19808,1992,12,755,7657,119,3122,59,1000,4519,698
"G1789075","1900","Indian Territory","178","Creek Nation","9075","Creek Nation",8266,1099,12,454,2765,42,1283,110,343,1694,451
"G1789095","1900","Indian Territory","178","Seminole Nation","9095","Seminole Nation",722,415,0,6,219,6,51,0,4,51,35
"G1789115","1900","Indian Territory","178","Modoc Indian Reservation","9115","Modoc Indian Reservation",40,0,0,8,17,2,5,0,0,0,8
"G1789135","1900","Indian Territory","178","Ottawa Indian Reservation","9135","Ottawa Indian Reservation",451,8,3,4,93,27,121,51,8,8,132
"G1789155","1900","Indian Territory","178","Peroria Indian Reservation","9155","Peroria Indian Reservation",258,71,6,1,145,3,20,1,0,6,1
"G1789177","1900","Indian Territory","178","Quapaw Indian Reservation","9177","Quapaw Indian Reservation",195,28,5,1,86,1,51,3,0,21,0
"G1789195","1900","Indian Territory","178","Seneca Indian Reservation","9195","Seneca Indian Reservation",192,14,0,1,122,0,16,0,1,35,3
"G1789215","1900","Indian Territory","178","Shawnee Indian Reservation","9215","Shawnee Indian Reservation",64,0,0,0,39,9,0,0,0,0,16
"G1789235","1900","Indian Territory","178","Wyandotte Indian Reservation","9235","Wyandotte Indian Reservation",256,45,0,0,111,0,42,0,3,50,3
"G1800010","1900","Indiana","180","Adams","0010","Adams",4486,1058,750,29,614,7,741,317,36,907,77
"G1800030","1900","Indiana","180","Allen","0030","Allen",16067,2118,1153,23,1072,37,3301,2497,105,6042,204
"G1800050","1900","Indiana","180","Bartholomew","0050","Bartholomew",5668,1015,571,80,678,25,858,380,83,1863,152
"G1800070","1900","Indiana","180","Benton","0070","Benton",2815,312,249,182,589,7,546,165,44,612,96
"G1800090","1900","Indiana","180","Blackford","0090","Blackford",3933,484,343,30,448,11,620,338,29,1597,94
"G1800110","1900","Indiana","180","Boone","0110","Boone",6113,1243,998,157,1049,41,958,297,183,1139,142
"G1800130","1900","Indiana","180","Brown","0130","Brown",2007,1074,339,12,330,8,75,11,6,147,16
"G1800150","1900","Indiana","180","Carroll","0150","Carroll",4475,1041,560,35,793,26,781,167,114,968,79
"G1800170","1900","Indiana","180","Cass","0170","Cass",7659,1045,676,15,858,21,1672,680,29,2696,133
"G1800190","1900","Indiana","180","Clark","0190","Clark",6684,1145,396,52,453,7,1355,457,85,2914,49
"G1800210","1900","Indiana","180","Clay","0210","Clay",7283,1274,501,7,730,12,1684,653,26,2415,79
"G1800230","1900","Indiana","180","Clinton","0230","Clinton",6548,1019,798,137,1045,25,1304,407,84,1713,122
"G1800250","1900","Indiana","180","Crawford","0250","Crawford",2767,1161,402,10,314,8,327,58,20,490,21
"G1800270","1900","Indiana","180","Daviess","0270","Daviess",5998,1113,689,151,1039,12,929,435,30,1664,65
"G1800290","1900","Indiana","180","Dearborn","0290","Dearborn",5031,1197,438,22,433,16,1056,342,34,1500,92
"G1800310","1900","Indiana","180","Decatur","0310","Decatur",4602,895,455,56,487,15,875,388,75,1303,113
"G1800330","1900","Indiana","180","DeKalb","0330","De Kalb",6089,1168,824,5,662,6,1328,692,31,1470,40
"G1800350","1900","Indiana","180","Delaware","0350","Delaware",10924,1151,741,31,920,14,1800,1290,107,4963,264
"G1800370","1900","Indiana","180","Dubois","0370","Dubois",3854,1280,619,38,300,11,699,201,48,695,37
"G1800390","1900","Indiana","180","Elkhart","0390","Elkhart",10754,1564,815,32,918,10,2479,1434,61,3525,183
"G1800410","1900","Indiana","180","Fayette","0410","Fayette",3196,437,246,6,366,4,588,350,22,1143,57
"G1800430","1900","Indiana","180","Floyd","0430","Floyd",6526,698,286,4,229,0,1772,408,20,3361,24
"G1800450","1900","Indiana","180","Fountain","0450","Fountain",5014,898,518,33,691,21,1086,441,31,1305,86
"G1800470","1900","Indiana","180","Franklin","0470","Franklin",3657,1032,565,51,460,10,665,157,20,714,33
"G1800490","1900","Indiana","180","Fulton","0490","Fulton",4166,798,874,44,787,9,584,272,32,735,56
"G1800510","1900","Indiana","180","Gibson","0510","Gibson",6363,1005,697,97,1061,24,1023,572,108,1783,106
"G1800530","1900","Indiana","180","Grant","0530","Grant",11393,1296,737,24,896,19,2588,1410,51,4604,187
"G1800550","1900","Indiana","180","Greene","0550","Greene",6109,1816,800,21,775,15,873,538,46,1257,77
"G1800570","1900","Indiana","180","Hamilton","0570","Hamilton",6798,1316,784,71,990,37,1251,521,98,1751,144
"G1800590","1900","Indiana","180","Hancock","0590","Hancock",4485,889,521,25,712,19,930,308,30,1012,93
"G1800610","1900","Indiana","180","Harrison","0610","Harrison",4492,1572,1067,17,499,6,428,199,46,706,19
"G1800630","1900","Indiana","180","Hendricks","0630","Hendricks",4990,1329,659,4,810,18,951,247,22,977,54
"G1800650","1900","Indiana","180","Henry","0650","Henry",6225,1063,632,107,839,31,1448,524,50,1514,168
"G1800670","1900","Indiana","180","Howard","0670","Howard",6670,1029,836,4,796,4,1252,670,13,2107,77
"G1800690","1900","Indiana","180","Huntington","0690","Huntington",6756,1106,732,16,782,8,1539,602,35,1944,116
"G1800710","1900","Indiana","180","Jackson","0710","Jackson",5699,1617,443,51,633,18,923,350,108,1532,89
"G1800730","1900","Indiana","180","Jasper","0730","Jasper",2996,395,557,16,818,18,435,209,8,520,47
"G1800750","1900","Indiana","180","Jay","0750","Jay",6168,1178,794,29,817,30,1073,512,41,1609,177
"G1800770","1900","Indiana","180","Jefferson","0770","Jefferson",5310,1205,710,28,584,17,939,340,18,1416,195
"G1800790","1900","Indiana","180","Jennings","0790","Jennings",3490,1121,572,15,399,22,472,149,30,693,38
"G1800810","1900","Indiana","180","Johnson","0810","Johnson",4753,872,538,21,670,17,974,317,42,1307,69
"G1800830","1900","Indiana","180","Knox","0830","Knox",6754,998,599,25,1038,15,1411,433,54,2211,141
"G1800850","1900","Indiana","180","Kosciusko","0850","Kosciusko",6888,1439,1008,29,983,26,1432,457,32,1487,135
"G1800870","1900","Indiana","180","Lagrange","0870","Lagrange",3723,877,785,8,547,9,587,188,12,705,41
"G1800890","1900","Indiana","180","Lake","0890","Lake",7204,750,309,21,596,19,1726,774,63,3233,232
"G1800910","1900","Indiana","180","LaPorte","0910","Laporte",8054,967,717,151,708,6,1982,1010,123,2505,162
"G1800930","1900","Indiana","180","Lawrence","0930","Lawrence",5446,1360,347,18,480,16,955,274,108,1883,114
"G1800950","1900","Indiana","180","Madison","0950","Madison",14966,1367,729,108,1119,35,2991,1920,196,6796,441
"G1800970","1900","Indiana","180","Marion","0970","Marion",41945,1437,748,66,1229,32,7346,6227,193,26203,1361
"G1800990","1900","Indiana","180","Marshall","0990","Marshall",5721,1101,958,19,803,8,1221,340,40,1200,71
"G1801010","1900","Indiana","180","Martin","1010","Martin",2893,1023,456,21,443,3,346,86,17,464,33
"G1801030","1900","Indiana","180","Miami","1030","Miami",6329,1082,615,11,700,21,1350,577,48,1952,112
"G1801050","1900","Indiana","180","Monroe","1050","Monroe",4524,1205,609,13,401,4,543,526,44,1271,49
"G1801070","1900","Indiana","180","Montgomery","1070","Montgomery",6962,1153,719,50,1003,25,1199,697,240,1900,122
"G1801090","1900","Indiana","180","Morgan","1090","Morgan",4652,1328,472,17,640,28,763,230,8,1204,64
"G1801110","1900","Indiana","180","Newton","1110","Newton",2347,284,275,63,514,30,432,201,14,444,85
"G1801130","1900","Indiana","180","Noble","1130","Noble",5561,1115,835,15,580,5,1345,403,32,1259,63
"G1801150","1900","Indiana","180","Ohio","1150","Ohio",1147,292,99,3,199,7,212,27,18,241,52
"G1801170","1900","Indiana","180","Orange","1170","Orange",3570,1453,480,21,435,22,386,106,23,662,40
"G1801190","1900","Indiana","180","Owen","1190","Owen",3296,1168,414,108,388,8,489,104,15,640,43
"G1801210","1900","Indiana","180","Parke","1210","Parke",5125,1097,483,11,669,17,999,316,21,1501,78
"G1801230","1900","Indiana","180","Perry","1230","Perry",3724,1277,446,8,313,12,652,161,34,852,57
"G1801250","1900","Indiana","180","Pike","1250","Pike",4342,1233,634,136,701,25,496,132,66,883,80
"G1801270","1900","Indiana","180","Porter","1270","Porter",4045,716,616,78,501,11,714,363,95,945,78
"G1801290","1900","Indiana","180","Posey","1290","Posey",4819,879,370,49,856,52,904,247,32,1311,181
"G1801310","1900","Indiana","180","Pulaski","1310","Pulaski",2931,671,552,28,658,3,473,76,12,429,33
"G1801330","1900","Indiana","180","Putnam","1330","Putnam",5075,1284,689,18,809,19,754,299,29,1163,92
"G1801350","1900","Indiana","180","Randolph","1350","Randolph",6718,1378,900,36,1143,16,1266,482,68,1442,73
"G1801370","1900","Indiana","180","Ripley","1370","Ripley",4510,1763,702,29,426,9,556,177,30,772,81
"G1801390","1900","Indiana","180","Rush","1390","Rush",4621,879,474,24,811,34,739,444,33,1174,84
"G1801410","1900","Indiana","180","St Joseph","1410","St Joseph",11956,1071,737,13,736,5,2617,2003,75,5317,217
"G1801430","1900","Indiana","180","Scott","1430","Scott",1845,621,354,10,257,2,179,93,15,314,14
"G1801450","1900","Indiana","180","Shelby","1450","Shelby",6218,921,741,32,1044,14,1113,550,35,1747,110
"G1801470","1900","Indiana","180","Spencer","1470","Spencer",4805,1347,596,33,953,20,668,107,27,1017,92
"G1801490","1900","Indiana","180","Starke","1490","Starke",2238,573,362,21,392,3,323,108,13,407,43
"G1801510","1900","Indiana","180","Steuben","1510","Steuben",3913,775,727,12,492,12,750,288,27,858,31
"G1801530","1900","Indiana","180","Sullivan","1530","Sullivan",5742,1318,801,177,883,8,799,318,53,1412,48
"G1801550","1900","Indiana","180","Switzerland","1550","Switzerland",2699,688,441,15,597,12,339,85,42,472,53
"G1801570","1900","Indiana","180","Tippecanoe","1570","Tippecanoe",8520,815,577,116,956,38,1963,646,108,3233,286
"G1801590","1900","Indiana","180","Tipton","1590","Tipton",4281,825,646,63,728,16,696,272,33,1029,43
"G1801610","1900","Indiana","180","Union","1610","Union",1668,359,208,23,261,2,307,81,36,418,19
"G1801630","1900","Indiana","180","Vanderburgh","1630","Vanderburgh",13875,901,422,58,533,10,2817,912,148,8162,547
"G1801650","1900","Indiana","180","Vermillion","1650","Vermillion",3433,528,294,7,531,8,668,273,16,1032,87
"G1801670","1900","Indiana","180","Vigo","1670","Vigo",13392,1260,701,30,850,23,2467,1561,166,6563,407
"G1801690","1900","Indiana","180","Wabash","1690","Wabash",6576,1111,676,13,872,7,1417,687,24,1751,70
"G1801710","1900","Indiana","180","Warren","1710","Warren",2655,509,342,27,642,18,407,120,26,512,65
"G1801730","1900","Indiana","180","Warrick","1730","Warrick",4729,1201,864,35,816,11,675,198,16,890,58
"G1801750","1900","Indiana","180","Washington","1750","Washington",4182,1686,706,21,481,6,442,145,23,704,25
"G1801770","1900","Indiana","180","Wayne","1770","Wayne",9486,1129,618,22,784,9,2355,972,34,3641,183
"G1801790","1900","Indiana","180","Wells","1790","Wells",5192,1290,756,25,721,15,865,302,54,1124,80
"G1801810","1900","Indiana","180","White","1810","White",4192,676,684,32,942,14,691,284,55,788,94
"G1801830","1900","Indiana","180","Whitley","1830","Whitley",3993,993,686,4,462,5,824,192,17,880,20
"G1900010","1900","Iowa","190","Adair","0010","Adair",3452,484,936,13,877,14,518,174,15,423,17
"G1900030","1900","Iowa","190","Adams","0030","Adams",2892,496,739,20,617,9,412,172,27,365,56
"G1900050","1900","Iowa","190","Allamakee","0050","Allamakee",3774,1256,775,9,274,11,772,114,15,527,70
"G1900070","1900","Iowa","190","Appanoose","0070","Appanoose",5765,920,792,13,716,23,1160,519,48,1539,101
"G1900090","1900","Iowa","190","Audubon","0090","Audubon",2698,327,964,8,633,7,262,177,6,291,15
"G1900110","1900","Iowa","190","Benton","0110","Benton",5514,953,711,25,1030,20,1331,393,32,938,124
"G1900130","1900","Iowa","190","Black Hawk","0130","Black Hawk",7017,712,630,80,798,15,1799,1042,49,1979,160
"G1900150","1900","Iowa","190","Boone","0150","Boone",5981,807,769,41,1013,21,1361,455,78,1432,101
"G1900170","1900","Iowa","190","Bremer","0170","Bremer",3605,874,569,13,506,8,805,193,11,624,42
"G1900190","1900","Iowa","190","Buchanan","0190","Buchanan",4546,740,902,15,757,19,1047,280,14,748,89
"G1900210","1900","Iowa","190","Buena Vista","0210","Buena Vista",3380,389,810,14,729,14,584,260,8,538,41
"G1900230","1900","Iowa","190","Butler","0230","Butler",3932,532,692,40,950,9,802,268,19,607,41
"G1900250","1900","Iowa","190","Calhoun","0250","Calhoun",3841,433,786,22,828,7,642,333,30,730,50
"G1900270","1900","Iowa","190","Carroll","0270","Carroll",3968,511,797,44,802,11,812,302,33,604,50
"G1900290","1900","Iowa","190","Cass","0290","Cass",4488,522,912,31,816,10,962,322,15,887,28
"G1900310","1900","Iowa","190","Cedar","0310","Cedar",4271,668,771,43,756,23,977,190,29,755,70
"G1900330","1900","Iowa","190","Cerro Gordo","0330","Cerro Gordo",4241,506,689,12,697,6,918,437,17,971,56
