GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A47001,A48001,A48002,A49001,A49002,A49003,A49004,A49005,A49006,A49007,A49008,A49009,A49010
"G1801410","1910","Indiana","180","St Joseph","1410","St Joseph",19067,2427,16640,1023,704,5,694,1,4069,3693,165,8445,268
"G1801430","1910","Indiana","180","Scott","1430","Scott",1980,1210,770,557,388,6,259,0,259,176,4,320,11
"G1801450","1910","Indiana","180","Shelby","1450","Shelby",6905,2670,4235,996,646,5,1014,9,1279,864,27,1911,154
"G1801470","1910","Indiana","180","Spencer","1470","Spencer",4819,2714,2105,1203,579,10,919,3,816,224,15,950,100
"G1801490","1910","Indiana","180","Starke","1490","Starke",2481,1314,1167,459,445,1,406,3,473,146,33,495,20
"G1801510","1910","Indiana","180","Steuben","1510","Steuben",3997,1882,2115,688,645,2,545,2,983,284,17,775,56
"G1801530","1910","Indiana","180","Sullivan","1530","Sullivan",7571,2765,4806,1293,736,5,729,2,1413,840,46,2420,87
"G1801550","1910","Indiana","180","Switzerland","1550","Switzerland",2521,1721,800,767,431,5,516,2,341,72,12,336,39
"G1801570","1910","Indiana","180","Tippecanoe","1570","Tippecanoe",9814,2442,7372,935,493,13,997,4,2415,656,148,3876,277
"G1801590","1910","Indiana","180","Tipton","1590","Tipton",4325,2033,2292,729,580,10,714,0,910,227,27,1073,55
"G1801610","1910","Indiana","180","Union","1610","Union",1743,777,966,343,142,4,287,1,434,76,6,432,18
"G1801630","1910","Indiana","180","Vanderburgh","1630","Vanderburgh",17779,1772,16007,933,362,5,471,1,4058,1486,57,9963,443
"G1801650","1910","Indiana","180","Vermillion","1650","Vermillion",4544,1247,3297,482,261,19,483,2,930,480,65,1759,63
"G1801670","1910","Indiana","180","Vigo","1670","Vigo",21148,2897,18251,1329,682,28,853,5,3388,3324,311,10717,511
"G1801690","1910","Indiana","180","Wabash","1690","Wabash",6851,2502,4349,1042,619,8,833,0,1728,619,41,1835,126
"G1801710","1910","Indiana","180","Warren","1710","Warren",2772,1286,1486,469,241,7,568,1,519,141,47,649,130
"G1801730","1910","Indiana","180","Warrick","1730","Warrick",5071,2735,2336,1048,882,4,800,1,854,328,27,1105,22
"G1801750","1910","Indiana","180","Washington","1750","Washington",4146,2590,1556,1386,711,8,485,0,592,202,11,722,29
"G1801770","1910","Indiana","180","Wayne","1770","Wayne",11404,2590,8814,1119,592,14,860,5,2997,998,48,4554,217
"G1801790","1910","Indiana","180","Wells","1790","Wells",5566,2608,2958,1064,685,7,850,2,1137,443,33,1292,53
"G1801810","1910","Indiana","180","White","1810","White",4294,2022,2272,500,547,26,946,3,971,284,24,935,58
"G1801830","1910","Indiana","180","Whitley","1830","Whitley",4306,2129,2177,895,706,7,516,5,989,244,44,841,59
"G1900010","1910","Iowa","190","Adair","0010","Adair",3429,2093,1336,525,738,5,823,2,658,134,5,479,60
"G1900030","1910","Iowa","190","Adams","0030","Adams",2655,1594,1061,462,528,6,593,5,419,141,8,362,131
"G1900050","1910","Iowa","190","Allamakee","0050","Allamakee",3860,2188,1672,1096,745,1,343,3,906,91,14,576,85
"G1900070","1910","Iowa","190","Appanoose","0070","Appanoose",6714,2261,4453,815,834,1,610,1,1620,676,17,2036,104
"G1900090","1910","Iowa","190","Audubon","0090","Audubon",2694,1788,906,374,769,3,640,2,439,110,8,309,40
"G1900110","1910","Iowa","190","Benton","0110","Benton",5587,2540,3047,769,611,12,1135,13,1605,367,31,909,135
"G1900130","1910","Iowa","190","Black Hawk","0130","Black Hawk",10388,2143,8245,652,573,10,906,2,2577,1551,149,3726,242
"G1900150","1910","Iowa","190","Boone","0150","Boone",6364,2493,3871,727,653,15,1095,3,1669,385,52,1659,106
"G1900170","1910","Iowa","190","Bremer","0170","Bremer",3730,1939,1791,814,530,4,590,1,989,149,11,596,46
"G1900190","1910","Iowa","190","Buchanan","0190","Buchanan",4537,2267,2270,715,693,5,851,3,1253,171,12,789,45
"G1900210","1910","Iowa","190","Buena Vista","0210","Buena Vista",3622,1893,1729,426,530,13,924,0,807,206,20,661,35
"G1900230","1910","Iowa","190","Butler","0230","Butler",4007,2163,1844,568,569,18,1007,1,1110,126,15,535,58
"G1900250","1910","Iowa","190","Calhoun","0250","Calhoun",3830,1917,1913,436,585,10,880,6,916,175,9,730,83
"G1900270","1910","Iowa","190","Carroll","0270","Carroll",4323,2024,2299,575,554,16,873,6,1170,259,16,772,82
"G1900290","1910","Iowa","190","Cass","0290","Cass",4593,2206,2387,564,753,8,878,3,1142,279,16,873,77
"G1900310","1910","Iowa","190","Cedar","0310","Cedar",4277,2146,2131,618,675,12,833,8,1146,175,32,673,105
"G1900330","1910","Iowa","190","Cerro Gordo","0330","Cerro Gordo",5585,1857,3728,503,539,3,808,4,1205,579,29,1773,142
"G1900350","1910","Iowa","190","Cherokee","0350","Cherokee",3534,1798,1736,399,488,4,907,0,825,209,8,636,58
"G1900370","1910","Iowa","190","Chickasaw","0370","Chickasaw",3475,2001,1474,771,635,2,587,6,755,143,23,511,42
"G1900390","1910","Iowa","190","Clarke","0390","Clarke",2676,1521,1155,341,620,2,556,2,611,135,5,382,22
"G1900410","1910","Iowa","190","Clay","0410","Clay",2848,1608,1240,302,558,3,742,3,519,161,11,511,38
"G1900430","1910","Iowa","190","Clayton","0430","Clayton",5742,3032,2710,1332,1000,3,695,2,1455,197,39,928,91
"G1900450","1910","Iowa","190","Clinton","0450","Clinton",10368,2701,7667,912,696,9,1078,6,3482,783,65,3108,229
"G1900470","1910","Iowa","190","Crawford","0470","Crawford",4344,2358,1986,498,816,12,1025,7,1036,219,13,636,82
"G1900490","1910","Iowa","190","Dallas","0490","Dallas",5731,2395,3336,728,623,5,1035,4,1466,388,27,1358,97
"G1900510","1910","Iowa","190","Davis","0510","Davis",3265,2161,1104,736,837,5,581,2,537,150,12,378,27
"G1900530","1910","Iowa","190","Decatur","0530","Decatur",3922,2084,1838,509,875,4,694,2,853,261,15,657,52
"G1900550","1910","Iowa","190","Delaware","0550","Delaware",4083,2172,1911,755,608,7,796,6,980,156,8,664,103
"G1900570","1910","Iowa","190","Des Moines","0570","Des Moines",8727,1899,6828,871,510,4,513,1,2755,912,38,2916,207
"G1900590","1910","Iowa","190","Dickinson","0590","Dickinson",1817,944,873,127,290,6,520,1,403,119,7,301,43
"G1900610","1910","Iowa","190","Dubuque","0610","Dubuque",12235,2339,9896,1089,745,5,495,5,3444,965,48,5233,206
"G1900630","1910","Iowa","190","Emmet","0630","Emmet",2163,1029,1134,181,302,31,514,1,381,157,34,499,63
"G1900650","1910","Iowa","190","Fayette","0650","Fayette",6434,3016,3418,1098,958,2,958,0,1533,378,17,1386,104
"G1900670","1910","Iowa","190","Floyd","0670","Floyd",4144,1825,2319,546,476,7,795,1,1047,253,13,920,86
"G1900690","1910","Iowa","190","Franklin","0690","Franklin",3227,1877,1350,412,559,3,898,5,570,156,34,536,54
"G1900710","1910","Iowa","190","Fremont","0710","Fremont",3705,1901,1804,519,532,16,830,4,820,155,8,685,136
"G1900730","1910","Iowa","190","Greene","0730","Greene",3719,2079,1640,475,569,15,1017,3,792,187,6,606,49
"G1900750","1910","Iowa","190","Grundy","0750","Grundy",3003,1731,1272,412,327,3,987,2,630,89,24,445,84
"G1900770","1910","Iowa","190","Guthrie","0770","Guthrie",4169,2251,1918,562,725,16,942,6,997,173,33,645,70
"G1900790","1910","Iowa","190","Hamilton","0790","Hamilton",4242,2139,2103,540,724,9,864,2,1043,239,12,734,75
"G1900810","1910","Iowa","190","Hancock","0810","Hancock",2689,1594,1095,267,576,16,734,1,454,158,9,436,38
"G1900830","1910","Iowa","190","Hardin","0830","Hardin",5026,2192,2834,526,651,11,1001,3,1423,258,22,1047,84
"G1900850","1910","Iowa","190","Harrison","0850","Harrison",5370,2731,2639,588,1021,29,1090,3,999,291,164,1067,118
"G1900870","1910","Iowa","190","Henry","0870","Henry",4478,2097,2381,810,623,8,651,5,1275,249,13,797,47
"G1900890","1910","Iowa","190","Howard","0890","Howard",2920,1594,1326,531,532,14,515,2,653,134,18,453,68
"G1900910","1910","Iowa","190","Humboldt","0910","Humboldt",2712,1400,1312,293,497,4,605,1,641,180,6,456,29
"G1900930","1910","Iowa","190","Ida","0930","Ida",2480,1415,1065,280,427,3,704,1,557,99,11,363,35
"G1900950","1910","Iowa","190","Iowa","0950","Iowa",4135,2208,1927,697,706,13,789,3,834,157,20,806,110
"G1900970","1910","Iowa","190","Jackson","0970","Jackson",5059,2334,2725,965,841,8,515,5,1301,254,23,1074,73
"G1900990","1910","Iowa","190","Jasper","0990","Jasper",6482,3090,3392,1006,915,13,1149,7,1495,362,25,1398,112
"G1901010","1910","Iowa","190","Jefferson","1010","Jefferson",3937,1946,1991,736,603,7,598,2,883,230,19,805,54
"G1901030","1910","Iowa","190","Johnson","1030","Johnson",6096,2476,3620,1102,691,5,673,5,1660,409,23,1435,93
"G1901050","1910","Iowa","190","Jones","1050","Jones",4394,2075,2319,784,603,11,674,3,959,299,23,876,162
"G1901070","1910","Iowa","190","Keokuk","1070","Keokuk",5370,2646,2724,1031,858,2,753,2,1550,247,19,823,85
"G1901090","1910","Iowa","190","Kossuth","1090","Kossuth",4481,2595,1886,464,933,13,1183,2,861,206,17,740,62
"G1901110","1910","Iowa","190","Lee","1110","Lee",9042,2323,6719,1136,557,1,624,5,2554,738,42,3191,194
"G1901130","1910","Iowa","190","Linn","1130","Linn",14812,3555,11257,1479,964,16,1089,7,3982,1834,202,4913,326
"G1901150","1910","Iowa","190","Louisa","1150","Louisa",3160,1474,1686,495,443,7,524,5,803,137,29,615,102
"G1901170","1910","Iowa","190","Lucas","1170","Lucas",3316,1727,1589,602,566,12,546,1,743,140,14,651,41
"G1901190","1910","Iowa","190","Lyon","1190","Lyon",2845,1605,1240,253,489,9,848,6,492,155,96,432,65
"G1901210","1910","Iowa","190","Madison","1210","Madison",3790,2268,1522,635,829,3,798,3,661,196,12,578,75
"G1901230","1910","Iowa","190","Mahaska","1230","Mahaska",7194,2919,4275,1034,862,16,1005,2,1387,455,95,2164,174
"G1901250","1910","Iowa","190","Marion","1250","Marion",5605,2547,3058,830,736,21,953,7,1485,262,17,1216,78
"G1901270","1910","Iowa","190","Marshall","1270","Marshall",7210,2366,4844,713,575,18,1059,1,1707,691,40,2112,294
"G1901290","1910","Iowa","190","Mills","1290","Mills",3361,1635,1726,514,338,9,770,4,689,155,80,696,106
"G1901310","1910","Iowa","190","Mitchell","1310","Mitchell",3206,1663,1543,615,517,2,524,5,790,153,29,492,79
"G1901330","1910","Iowa","190","Monona","1330","Monona",3696,2147,1549,391,712,10,1020,14,668,180,33,515,153
"G1901350","1910","Iowa","190","Monroe","1350","Monroe",5737,1840,3897,738,570,10,519,3,1051,283,48,2416,99
"G1901370","1910","Iowa","190","Montgomery","1370","Montgomery",4067,1704,2363,409,544,5,742,4,992,330,49,815,177
"G1901390","1910","Iowa","190","Muscatine","1390","Muscatine",7273,1760,5513,654,414,3,687,2,2253,658,37,2400,165
"G1901410","1910","Iowa","190","O Brien","1410","O Brien",3656,1682,1974,347,503,19,803,10,949,196,52,704,73
"G1901430","1910","Iowa","190","Osceola","1430","Osceola",1819,1046,773,183,310,0,553,0,374,76,3,297,23
"G1901450","1910","Iowa","190","Page","1450","Page",5462,2237,3225,643,692,9,893,0,1450,417,16,1248,94
"G1901470","1910","Iowa","190","Palo Alto","1470","Palo Alto",2895,1540,1355,306,469,9,753,3,613,122,20,505,95
"G1901490","1910","Iowa","190","Plymouth","1490","Plymouth",4814,2617,2197,677,604,18,1313,5,1110,161,24,802,100
"G1901510","1910","Iowa","190","Pocahontas","1510","Pocahontas",3047,1888,1159,391,627,7,860,3,480,122,12,488,57
"G1901530","1910","Iowa","190","Polk","1530","Polk",25936,3099,22837,1085,778,33,1194,9,5751,3938,256,12197,695
"G1901550","1910","Iowa","190","Pottawattamie","1550","Pottawattamie",12472,3716,8756,1004,982,43,1682,5,2948,1228,120,4197,263
"G1901570","1910","Iowa","190","Poweshiek","1570","Poweshiek",4691,2163,2528,579,723,3,850,8,1117,416,17,898,80
"G1901590","1910","Iowa","190","Ringgold","1590","Ringgold",3142,1956,1186,413,904,13,622,4,550,200,21,361,54
"G1901610","1910","Iowa","190","Sac","1610","Sac",3663,1902,1761,487,533,8,871,3,910,141,11,632,67
"G1901630","1910","Iowa","190","Scott","1630","Scott",14017,2362,11655,819,534,1,1008,0,3667,1551,61,6145,231
"G1901650","1910","Iowa","190","Shelby","1650","Shelby",3602,2102,1500,480,721,4,893,4,799,128,7,492,74
"G1901670","1910","Iowa","190","Sioux","1670","Sioux",4975,2657,2318,585,649,4,1419,0,1180,252,13,814,59
"G1901690","1910","Iowa","190","Story","1690","Story",5604,2284,3320,538,715,16,1014,1,1551,479,24,1164,102
"G1901710","1910","Iowa","190","Tama","1710","Tama",5248,2493,2755,755,717,17,977,27,1381,268,31,853,222
"G1901730","1910","Iowa","190","Taylor","1730","Taylor",4035,2145,1890,509,856,12,767,1,979,223,11,636,41
"G1901750","1910","Iowa","190","Union","1750","Union",4074,1514,2560,442,529,17,524,2,1202,314,18,900,126
"G1901770","1910","Iowa","190","Van Buren","1770","Van Buren",3898,2067,1831,858,611,9,576,13,1017,124,19,592,79
"G1901790","1910","Iowa","190","Wapello","1790","Wapello",9215,2126,7089,770,669,7,678,2,2378,1135,42,3409,125
"G1901810","1910","Iowa","190","Warren","1810","Warren",4444,2515,1929,788,898,9,813,7,909,246,23,661,90
"G1901830","1910","Iowa","190","Washington","1830","Washington",4967,2376,2591,919,692,5,756,4,1348,281,22,860,80
"G1901850","1910","Iowa","190","Wayne","1850","Wayne",3983,1900,2083,487,850,5,552,6,1029,245,40,695,74
"G1901870","1910","Iowa","190","Webster","1870","Webster",7330,2409,4921,622,756,12,1015,4,1811,692,45,2056,317
"G1901890","1910","Iowa","190","Winnebago","1890","Winnebago",2393,1396,997,302,609,2,481,2,438,140,6,384,29
"G1901910","1910","Iowa","190","Winneshiek","1910","Winneshiek",4799,2877,1922,1397,887,13,576,4,1055,182,23,634,28
"G1901930","1910","Iowa","190","Woodbury","1930","Woodbury",14533,2802,11731,561,899,18,1317,7,3077,1587,126,6360,581
"G1901950","1910","Iowa","190","Worth","1950","Worth",2095,1375,720,483,434,4,452,2,338,58,33,262,29
"G1901970","1910","Iowa","190","Wright","1970","Wright",3995,1867,2128,336,623,6,900,2,887,262,14,911,54
"G2000010","1910","Kansas","200","Allen","0010","Allen",6593,1913,4680,615,418,27,850,3,1533,599,114,2257,177
"G2000030","1910","Kansas","200","Anderson","0030","Anderson",3349,1909,1440,537,654,8,708,2,729,187,11,480,33
"G2000050","1910","Kansas","200","Atchison","0050","Atchison",6315,1785,4530,716,484,9,573,3,1731,427,165,1934,273
"G2000070","1910","Kansas","200","Barber","0070","Barber",2256,1155,1101,405,317,3,426,4,452,101,7,489,52
"G2000090","1910","Kansas","200","Barton","0090","Barton",3868,1636,2232,801,206,7,615,7,995,206,24,914,93
"G2000110","1910","Kansas","200","Bourbon","0110","Bourbon",5844,2381,3463,712,704,76,882,7,1279,415,101,1561,107
"G2000130","1910","Kansas","200","Brown","0130","Brown",4983,2213,2770,574,524,22,1088,5,1246,346,39,1062,77
"G2000150","1910","Kansas","200","Butler","0150","Butler",5492,3086,2406,986,811,12,1272,5,1131,239,16,916,104
"G2000170","1910","Kansas","200","Chase","0170","Chase",1764,962,802,268,327,2,356,9,317,99,3,331,52
"G2000190","1910","Kansas","200","Chautauqua","0190","Chautauqua",2761,1551,1210,459,440,5,638,9,590,84,14,451,71
"G2000210","1910","Kansas","200","Cherokee","0210","Cherokee",8961,2643,6318,939,483,21,1191,9,2934,510,209,2499,166
"G2000230","1910","Kansas","200","Cheyenne","0230","Cheyenne",992,805,187,453,188,1,160,3,73,18,0,79,17
"G2000250","1910","Kansas","200","Clark","0250","Clark",928,443,485,133,129,3,178,0,201,65,2,200,17
"G2000270","1910","Kansas","200","Clay","0270","Clay",3603,2038,1565,737,524,1,772,4,788,167,5,493,112
"G2000290","1910","Kansas","200","Cloud","0290","Cloud",4277,2163,2114,764,464,13,917,5,932,245,44,810,83
"G2000310","1910","Kansas","200","Coffey","0310","Coffey",3742,2225,1517,628,759,2,832,4,768,200,11,486,52
"G2000330","1910","Kansas","200","Comanche","0330","Comanche",736,426,310,120,163,1,142,0,134,38,2,129,7
"G2000350","1910","Kansas","200","Cowley","0350","Cowley",7703,3057,4646,929,869,11,1241,7,1802,725,46,1864,209
"G2000370","1910","Kansas","200","Crawford","0370","Crawford",11986,2711,9275,910,601,26,1170,4,3102,1171,158,4611,233
"G2000390","1910","Kansas","200","Decatur","0390","Decatur",2060,1387,673,531,479,8,369,0,362,73,14,192,32
"G2000410","1910","Kansas","200","Dickinson","0410","Dickinson",5598,2508,3090,967,673,15,844,9,1419,405,50,1052,164
"G2000430","1910","Kansas","200","Doniphan","0430","Doniphan",3268,1686,1582,520,519,7,636,4,685,138,28,661,70
"G2000450","1910","Kansas","200","Douglas","0450","Douglas",6065,2072,3993,825,543,10,692,2,1580,569,15,1726,103
"G2000470","1910","Kansas","200","Edwards","0470","Edwards",1622,872,750,333,222,5,306,6,342,111,1,243,53
"G2000490","1910","Kansas","200","Elk","0490","Elk",2559,1512,1047,429,470,7,605,1,564,98,9,314,62
"G2000510","1910","Kansas","200","Ellis","0510","Ellis",2292,1265,1027,603,383,8,270,1,475,103,22,378,49
"G2000530","1910","Kansas","200","Ellsworth","0530","Ellsworth",2263,1184,1079,564,244,4,370,2,498,116,20,358,87
"G2000550","1910","Kansas","200","Finney","0550","Finney",1704,709,995,415,110,8,174,2,359,116,10,476,34
"G2000570","1910","Kansas","200","Ford","0570","Ford",2550,1064,1486,386,291,8,379,0,540,136,8,737,65
"G2000590","1910","Kansas","200","Franklin","0590","Franklin",5254,2265,2989,779,726,5,752,3,1181,454,85,1177,92
"G2000610","1910","Kansas","200","Geary","0610","Geary",2562,822,1740,303,266,8,245,0,610,230,18,717,165
"G2000630","1910","Kansas","200","Gove","0630","Gove",1353,999,354,446,318,2,231,2,151,37,13,135,18
"G2000650","1910","Kansas","200","Graham","0650","Graham",1838,1449,389,360,557,19,510,3,162,34,6,143,44
"G2000670","1910","Kansas","200","Grant","0670","Grant",304,263,41,236,14,4,9,0,22,10,0,5,4
"G2000690","1910","Kansas","200","Gray","0690","Gray",830,567,263,400,75,0,92,0,106,5,3,95,54
"G2000710","1910","Kansas","200","Greeley","0710","Greeley",386,268,118,234,19,0,8,7,58,3,0,57,0
"G2000730","1910","Kansas","200","Greenwood","0730","Greenwood",3771,2183,1588,454,841,14,863,11,687,252,13,567,69
"G2000750","1910","Kansas","200","Hamilton","0750","Hamilton",912,552,360,464,59,0,29,0,132,44,2,178,4
"G2000770","1910","Kansas","200","Harper","0770","Harper",3330,1754,1576,523,426,2,798,5,740,199,20,565,52
"G2000790","1910","Kansas","200","Harvey","0790","Harvey",4415,1654,2761,549,392,6,702,5,1144,426,23,1053,115
"G2000810","1910","Kansas","200","Haskell","0810","Haskell",266,228,38,211,3,1,10,3,14,0,4,10,10
"G2000830","1910","Kansas","200","Hodgeman","0830","Hodgeman",674,542,132,237,161,3,136,5,63,15,1,38,15
"G2000850","1910","Kansas","200","Jackson","0850","Jackson",4011,2338,1673,648,789,16,881,4,793,200,30,542,108
"G2000870","1910","Kansas","200","Jefferson","0870","Jefferson",3789,2169,1620,677,757,6,723,6,773,147,29,556,115
"G2000890","1910","Kansas","200","Jewell","0890","Jewell",4275,2845,1430,1068,700,10,1064,3,726,143,10,433,118
"G2000910","1910","Kansas","200","Johnson","0910","Johnson",4549,2232,2317,828,507,6,889,2,984,343,5,928,57
"G2000930","1910","Kansas","200","Kearny","0930","Kearny",828,591,237,431,50,1,107,2,93,17,1,97,29
"G2000950","1910","Kansas","200","Kingman","0950","Kingman",2975,1771,1204,540,538,5,686,2,552,155,17,430,50
"G2000970","1910","Kansas","200","Kiowa","0970","Kiowa",1370,778,592,214,211,4,349,0,277,53,3,235,24
"G2000990","1910","Kansas","200","Labette","0990","Labette",7683,2561,5122,809,667,2,1072,11,2021,764,44,2130,163
"G2001010","1910","Kansas","200","Lane","1010","Lane",614,460,154,261,99,3,97,0,64,11,4,66,9
"G2001030","1910","Kansas","200","Leavenworth","1030","Leavenworth",8416,2137,6279,742,651,14,726,4,2242,551,52,3178,256
"G2001050","1910","Kansas","200","Lincoln","1050","Lincoln",2259,1506,753,578,443,2,482,1,397,98,3,228,27
"G2001070","1910","Kansas","200","Linn","1070","Linn",3675,2274,1401,853,598,7,813,3,718,118,20,465,80
"G2001090","1910","Kansas","200","Logan","1090","Logan",1060,771,289,506,146,0,117,2,122,32,1,123,11
"G2001110","1910","Kansas","200","Lyon","1110","Lyon",5956,2718,3238,836,1005,4,867,6,1217,569,20,1299,133
"G2001130","1910","Kansas","200","McPherson","1130","Mcpherson",4942,2545,2397,903,560,8,1071,3,1267,321,14,707,88
"G2001150","1910","Kansas","200","Marion","1150","Marion",4698,2599,2099,871,695,15,1016,2,1055,260,14,723,47
"G2001170","1910","Kansas","200","Marshall","1170","Marshall",5470,2807,2663,756,863,30,1157,1,1192,334,74,931,132
"G2001190","1910","Kansas","200","Meade","1190","Meade",1164,792,372,517,145,0,126,4,182,31,1,127,31
"G2001210","1910","Kansas","200","Miami","1210","Miami",4614,2448,2166,859,660,17,909,3,850,149,80,976,111
"G2001230","1910","Kansas","200","Mitchell","1230","Mitchell",3305,1784,1521,648,391,15,727,3,719,169,5,521,107
"G2001250","1910","Kansas","200","Montgomery","1250","Montgomery",11693,2497,9196,830,596,8,1058,5,2702,1383,54,4704,353
"G2001270","1910","Kansas","200","Morris","1270","Morris",2859,1640,1219,490,564,4,576,6,552,154,12,467,34
"G2001290","1910","Kansas","200","Morton","1290","Morton",480,451,29,442,5,0,0,4,12,0,0,6,11
"G2001310","1910","Kansas","200","Nemaha","1310","Nemaha",4436,2555,1881,602,844,1,1107,1,987,221,8,608,57
"G2001330","1910","Kansas","200","Neosho","1330","Neosho",5797,2207,3590,673,571,9,954,0,1419,652,44,1403,72
"G2001350","1910","Kansas","200","Ness","1350","Ness",1321,916,405,323,319,0,273,1,215,46,4,117,23
"G2001370","1910","Kansas","200","Norton","1370","Norton",2756,1782,974,618,601,1,559,3,447,143,2,350,32
"G2001390","1910","Kansas","200","Osage","1390","Osage",4894,2656,2238,875,920,16,835,10,1130,238,18,752,100
"G2001410","1910","Kansas","200","Osborne","1410","Osborne",3027,1790,1237,593,523,5,667,2,598,155,7,448,29
"G2001430","1910","Kansas","200","Ottawa","1430","Ottawa",2826,1598,1228,519,411,18,648,2,658,126,9,388,47
"G2001450","1910","Kansas","200","Pawnee","1450","Pawnee",2056,1051,1005,310,276,4,460,1,477,112,2,385,29
"G2001470","1910","Kansas","200","Phillips","1470","Phillips",3226,2077,1149,756,667,5,646,3,544,149,11,392,53
"G2001490","1910","Kansas","200","Pottawatomie","1490","Pottawatomie",3927,2161,1766,702,700,1,751,7,918,169,10,572,97
"G2001510","1910","Kansas","200","Pratt","1510","Pratt",2556,1332,1224,519,247,18,527,21,528,174,6,463,53
"G2001530","1910","Kansas","200","Rawlins","1530","Rawlins",1408,1062,346,508,313,0,241,0,158,49,2,110,27
"G2001550","1910","Kansas","200","Reno","1550","Reno",8711,3291,5420,1130,811,7,1337,6,1867,830,206,2232,285
"G2001570","1910","Kansas","200","Republic","1570","Republic",4164,2574,1590,1035,473,19,1044,3,793,137,12,588,60
"G2001590","1910","Kansas","200","Rice","1590","Rice",3610,1597,2013,536,327,6,726,2,940,248,8,759,58
"G2001610","1910","Kansas","200","Riley","1610","Riley",3725,1587,2138,645,410,1,528,3,883,406,16,741,92
"G2001630","1910","Kansas","200","Rooks","1630","Rooks",2505,1506,999,500,486,1,518,1,439,139,12,377,32
"G2001650","1910","Kansas","200","Rush","1650","Rush",1657,1069,588,464,268,5,330,2,275,64,12,208,29
"G2001670","1910","Kansas","200","Russell","1670","Russell",2331,1364,967,549,384,45,386,0,526,80,5,314,42
"G2001690","1910","Kansas","200","Saline","1690","Saline",4702,1803,2899,664,480,9,648,2,1105,499,22,1068,205
"G2001710","1910","Kansas","200","Scott","1710","Scott",738,481,257,252,132,2,95,0,115,21,3,101,17
"G2001730","1910","Kansas","200","Sedgwick","1730","Sedgwick",17398,3189,14209,1074,682,15,1409,9,4040,2191,113,7285,580
"G2001750","1910","Kansas","200","Seward","1750","Seward",992,567,425,401,99,1,65,1,167,49,3,191,15
"G2001770","1910","Kansas","200","Shawnee","1770","Shawnee",15390,2328,13062,830,707,5,775,11,3885,2467,121,6128,461
"G2001790","1910","Kansas","200","Sheridan","1790","Sheridan",1241,957,284,285,350,10,311,1,116,41,5,103,19
"G2001810","1910","Kansas","200","Sherman","1810","Sherman",1090,571,519,312,124,0,134,1,181,75,4,209,50
"G2001830","1910","Kansas","200","Smith","1830","Smith",3620,2477,1143,939,657,2,875,4,545,133,12,418,35
"G2001850","1910","Kansas","200","Stafford","1850","Stafford",2744,1506,1238,562,265,9,669,1,551,165,7,444,71
"G2001870","1910","Kansas","200","Stanton","1870","Stanton",293,277,16,266,3,0,3,5,2,0,0,1,13
"G2001890","1910","Kansas","200","Stevens","1890","Stevens",688,631,57,542,45,0,44,0,33,4,0,13,7
"G2001910","1910","Kansas","200","Sumner","1910","Sumner",7157,3238,3919,886,623,27,1698,4,1727,371,32,1634,155
"G2001930","1910","Kansas","200","Thomas","1930","Thomas",1200,793,407,228,298,1,262,4,165,51,0,174,17
"G2001950","1910","Kansas","200","Trego","1950","Trego",1173,869,304,255,352,2,260,0,133,22,4,108,37
"G2001970","1910","Kansas","200","Wabaunsee","1970","Wabaunsee",2840,1795,1045,573,601,3,617,1,487,112,5,392,49
"G2001990","1910","Kansas","200","Wallace","1990","Wallace",773,589,184,468,75,0,46,0,61,14,1,90,18
"G2002010","1910","Kansas","200","Washington","2010","Washington",4732,2955,1777,1000,861,9,1084,1,944,182,3,569,79
"G2002030","1910","Kansas","200","Wichita","2030","Wichita",452,343,109,236,57,2,48,0,58,13,2,28,8
"G2002050","1910","Kansas","200","Wilson","2050","Wilson",4759,1936,2823,593,494,9,838,2,1010,369,42,1284,118
"G2002070","1910","Kansas","200","Woodson","2070","Woodson",2232,1210,1022,357,346,4,498,5,546,94,4,345,33
"G2002090","1910","Kansas","200","Wyandotte","2090","Wyandotte",23910,1290,22620,511,304,4,469,2,5474,4695,184,11771,496
"G2100010","1910","Kentucky","210","Adair","0010","Adair",3465,2842,623,1755,363,2,722,0,190,39,25,340,29
"G2100030","1910","Kentucky","210","Allen","0030","Allen",3284,2678,606,1393,373,2,910,0,213,35,22,296,40
"G2100050","1910","Kentucky","210","Anderson","0050","Anderson",2297,1408,889,793,215,0,400,0,353,26,16,459,35
"G2100070","1910","Kentucky","210","Ballard","0070","Ballard",2784,1839,945,688,290,2,858,1,328,67,25,494,31
"G2100090","1910","Kentucky","210","Barren","0090","Barren",5525,4286,1239,2248,709,5,1323,1,433,60,47,638,61
"G2100110","1910","Kentucky","210","Bath","0110","Bath",3056,1892,1164,921,160,9,801,1,316,34,65,704,45
"G2100130","1910","Kentucky","210","Bell","0130","Bell",5596,1337,4259,567,12,5,753,0,622,28,103,3409,97
"G2100150","1910","Kentucky","210","Boone","0150","Boone",2363,1480,883,757,254,2,466,1,319,96,15,427,26
"G2100170","1910","Kentucky","210","Bourbon","0170","Bourbon",4235,1112,3123,445,106,7,551,3,1052,213,20,1719,119
"G2100190","1910","Kentucky","210","Boyd","0190","Boyd",4965,932,4033,451,150,1,330,0,1009,512,33,2419,60
"G2100210","1910","Kentucky","210","Boyle","0210","Boyle",3231,1112,2119,517,172,115,306,2,655,149,86,1092,137
