GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA1990,B21AB1990,B21AC1990,B21AD1990,B21AE1990,B21AF1990,B21AG1990,B21AH1990,B21AI1990,B21AJ1990
"G0202310","1990","Alaska","02","020","Skagway-Yakutat-Angoon","231","2310","Skagway-Yakutat-Angoon Census Area",1525,4,867,24,,1124,3,803,35,
"G0202400","1990","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area",2560,153,404,70,,2110,137,366,113,
"G0202610","1990","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area",4600,37,633,201,,3647,20,612,202,
"G0202700","1990","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area",194,9,2785,19,,152,3,2620,9,
"G0202800","1990","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg Census Area",3011,7,692,66,,2533,4,675,54,
"G0202900","1990","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area",2149,70,2523,45,,1435,18,2203,35,
"G0400010","1990","Arizona","04","040","Apache County","001","0010","Apache County",6264,55,23330,619,,6192,45,24473,613,
"G0400030","1990","Arizona","04","040","Cochise County","003","0030","Cochise County",40561,3014,465,5687,,39163,2064,325,6345,
"G0400050","1990","Arizona","04","040","Coconino County","005","0050","Coconino County",31037,763,13711,2588,,30799,656,14522,2515,
"G0400070","1990","Arizona","04","040","Gila County","007","0070","Gila County",15030,51,2546,2021,,15746,48,2692,2082,
"G0400090","1990","Arizona","04","040","Graham County","009","0090","Graham County",10387,384,1924,940,,10216,118,2027,558,
"G0400110","1990","Arizona","04","040","Greenlee County","011","0110","Greenlee County",3467,17,96,471,,3368,11,87,491,
"G0400120","1990","Arizona","04","040","La Paz County","012","0120","La Paz County",5340,71,1158,527,,4995,47,1244,462,
"G0400130","1990","Arizona","04","040","Maricopa County","013","0130","Maricopa County",882611,37474,18360,107333,,916809,36783,19657,103074,
"G0400150","1990","Arizona","04","040","Mohave County","015","0150","Mohave County",44264,165,1015,1117,,44570,138,1130,1098,
"G0400170","1990","Arizona","04","040","Navajo County","017","0170","Navajo County",17143,441,19763,1323,,17062,262,20654,1010,
"G0400190","1990","Arizona","04","040","Pima County","019","0190","Pima County",255902,11031,9884,49449,,269074,9764,10446,51330,
"G0400210","1990","Arizona","04","040","Pinal County","021","0210","Pinal County",44390,2108,5284,7866,,42829,1540,5501,6861,
"G0400230","1990","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz County",10585,53,27,3466,,11574,44,37,3890,
"G0400250","1990","Arizona","04","040","Yavapai County","025","0250","Yavapai County",50321,193,851,1351,,52785,128,889,1196,
"G0400270","1990","Arizona","04","040","Yuma County","027","0270","Yuma County",41003,1738,720,10936,,39699,1318,709,10772,
"G0500010","1990","Arkansas","05","050","Arkansas County","001","0010","Arkansas County",8058,2123,26,23,,8758,2615,27,23,
"G0500030","1990","Arkansas","05","050","Ashley County","003","0030","Ashley County",8540,3031,24,79,,8971,3585,22,67,
"G0500050","1990","Arkansas","05","050","Baxter County","005","0050","Baxter County",14745,2,66,33,,16219,2,57,62,
"G0500070","1990","Arkansas","05","050","Benton County","007","0070","Benton County",46238,82,679,532,,48730,42,756,440,
"G0500090","1990","Arkansas","05","050","Boone County","009","0090","Boone County",13420,2,89,29,,14618,3,87,49,
"G0500110","1990","Arkansas","05","050","Bradley County","011","0110","Bradley County",3820,1707,5,72,,4192,1941,8,48,
"G0500130","1990","Arkansas","05","050","Calhoun County","013","0130","Calhoun County",2163,639,2,12,,2194,808,3,5,
"G0500150","1990","Arkansas","05","050","Carroll County","015","0150","Carroll County",8903,3,79,30,,9513,3,67,56,
"G0500170","1990","Arkansas","05","050","Chicot County","017","0170","Chicot County",3191,3945,11,75,,3501,4914,11,65,
"G0500190","1990","Arkansas","05","050","Clark County","019","0190","Clark County",7852,2231,27,53,,8492,2682,28,72,
"G0500210","1990","Arkansas","05","050","Clay County","021","0210","Clay County",8615,4,24,9,,9416,2,21,16,
"G0500230","1990","Arkansas","05","050","Cleburne County","023","0230","Cleburne County",9352,3,31,20,,9940,3,41,21,
"G0500250","1990","Arkansas","05","050","Cleveland County","025","0250","Cleveland County",3279,488,4,12,,3402,571,9,16,
"G0500270","1990","Arkansas","05","050","Columbia County","027","0270","Columbia County",7889,4094,17,43,,8675,4898,36,39,
"G0500290","1990","Arkansas","05","050","Conway County","029","0290","Conway County",7797,1323,32,27,,8342,1553,41,36,
"G0500310","1990","Arkansas","05","050","Craighead County","031","0310","Craighead County",31077,1712,94,286,,33372,2066,106,243,
"G0500330","1990","Arkansas","05","050","Crawford County","033","0330","Crawford County",20061,176,303,235,,20913,198,355,252,
"G0500350","1990","Arkansas","05","050","Crittenden County","035","0350","Crittenden County",13612,9760,47,147,,14540,11641,43,149,
"G0500370","1990","Arkansas","05","050","Cross County","037","0370","Cross County",6943,2232,17,30,,7400,2550,23,30,
"G0500390","1990","Arkansas","05","050","Dallas County","039","0390","Dallas County",2832,1752,3,15,,3041,1946,13,12,
"G0500410","1990","Arkansas","05","050","Desha County","041","0410","Desha County",4551,3203,20,63,,4949,3936,28,48,
"G0500430","1990","Arkansas","05","050","Drew County","043","0430","Drew County",6133,2173,12,32,,6397,2581,15,26,
"G0500450","1990","Arkansas","05","050","Faulkner County","045","0450","Faulkner County",26589,2144,124,159,,28055,2634,132,169,
"G0500470","1990","Arkansas","05","050","Franklin County","047","0470","Franklin County",7235,75,52,30,,7409,24,46,26,
"G0500490","1990","Arkansas","05","050","Fulton County","049","0490","Fulton County",4772,6,21,3,,5197,4,26,8,
"G0500510","1990","Arkansas","05","050","Garland County","051","0510","Garland County",31731,2678,247,287,,35039,2926,237,252,
"G0500530","1990","Arkansas","05","050","Grant County","053","0530","Grant County",6647,173,19,21,,6844,204,19,21,
"G0500550","1990","Arkansas","05","050","Greene County","055","0550","Greene County",15296,9,39,36,,16331,11,40,42,
"G0500570","1990","Arkansas","05","050","Hempstead County","057","0570","Hempstead County",7172,2949,34,117,,7716,3515,40,78,
"G0500590","1990","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County",11206,1331,62,21,,11860,1534,64,37,
"G0500610","1990","Arkansas","05","050","Howard County","061","0610","Howard County",5043,1388,29,53,,5461,1531,24,40,
"G0500630","1990","Arkansas","05","050","Independence County","063","0630","Independence County",14768,277,34,92,,15576,318,46,81,
"G0500650","1990","Arkansas","05","050","Izard County","065","0650","Izard County",5412,6,32,10,,5854,5,32,13,
"G0500670","1990","Arkansas","05","050","Jackson County","067","0670","Jackson County",7777,1214,38,15,,8304,1545,28,23,
"G0500690","1990","Arkansas","05","050","Jefferson County","069","0690","Jefferson County",23469,17277,109,252,,24409,19600,118,253,
"G0500710","1990","Arkansas","05","050","Johnson County","071","0710","Johnson County",8579,157,59,81,,9053,152,50,90,
"G0500730","1990","Arkansas","05","050","Lafayette County","073","0730","Lafayette County",2870,1706,12,12,,3014,2005,8,16,
"G0500750","1990","Arkansas","05","050","Lawrence County","075","0750","Lawrence County",8259,39,66,11,,8964,49,60,9,
"G0500770","1990","Arkansas","05","050","Lee County","077","0770","Lee County",2668,3434,3,50,,2781,4053,8,56,
"G0500790","1990","Arkansas","05","050","Lincoln County","079","0790","Lincoln County",4864,3082,50,59,,3747,1853,15,20,
"G0500810","1990","Arkansas","05","050","Little River County","081","0810","Little River County",5299,1343,57,76,,5521,1588,59,23,
"G0500830","1990","Arkansas","05","050","Logan County","083","0830","Logan County",9871,144,58,55,,10212,129,67,21,
"G0500850","1990","Arkansas","05","050","Lonoke County","085","0850","Lonoke County",17473,1689,75,60,,17922,1847,91,111,
"G0500870","1990","Arkansas","05","050","Madison County","087","0870","Madison County",5620,1,60,19,,5815,2,80,21,
"G0500890","1990","Arkansas","05","050","Marion County","089","0890","Marion County",5799,3,27,14,,6100,3,26,29,
"G0500910","1990","Arkansas","05","050","Miller County","091","0910","Miller County",14203,3973,77,119,,15261,4652,71,111,
"G0500930","1990","Arkansas","05","050","Mississippi County","093","0930","Mississippi County",19977,7432,87,297,,20712,8574,81,365,
"G0500950","1990","Arkansas","05","050","Monroe County","095","0950","Monroe County",3282,2007,16,12,,3580,2415,10,11,
"G0500970","1990","Arkansas","05","050","Montgomery County","097","0970","Montgomery County",3807,6,45,10,,3911,2,48,12,
"G0500990","1990","Arkansas","05","050","Nevada County","099","0990","Nevada County",3265,1528,17,16,,3591,1668,10,6,
"G0501010","1990","Arkansas","05","050","Newton County","101","1010","Newton County",3800,0,24,19,,3782,0,27,14,
"G0501030","1990","Arkansas","05","050","Ouachita County","103","1030","Ouachita County",9396,4965,21,37,,10306,5774,23,52,
"G0501050","1990","Arkansas","05","050","Perry County","105","1050","Perry County",3831,59,18,11,,3949,60,24,17,
"G0501070","1990","Arkansas","05","050","Phillips County","107","1070","Phillips County",6072,7029,19,68,,6843,8724,21,62,
"G0501090","1990","Arkansas","05","050","Pike County","109","1090","Pike County",4689,178,29,19,,4932,200,27,12,
"G0501110","1990","Arkansas","05","050","Poinsett County","111","1110","Poinsett County",11033,797,22,20,,11764,976,21,31,
"G0501130","1990","Arkansas","05","050","Polk County","113","1130","Polk County",8280,0,95,71,,8755,0,91,55,
"G0501150","1990","Arkansas","05","050","Pope County","115","1150","Pope County",21761,598,157,149,,22365,531,162,160,
"G0501170","1990","Arkansas","05","050","Prairie County","117","1170","Prairie County",4050,594,18,8,,4120,700,20,8,
"G0501190","1990","Arkansas","05","050","Pulaski County","119","1190","Pulaski County",121513,42737,577,1654,,131041,49463,586,2089,
"G0501210","1990","Arkansas","05","050","Randolph County","121","1210","Randolph County",7884,80,19,17,,8438,66,33,21,
"G0501230","1990","Arkansas","05","050","St. Francis County","123","1230","St. Francis County",6937,6175,22,99,,7785,7346,25,108,
"G0501250","1990","Arkansas","05","050","Saline County","125","1250","Saline County",30699,720,148,151,,31516,628,137,184,
"G0501270","1990","Arkansas","05","050","Scott County","127","1270","Scott County",4935,1,49,28,,5100,0,57,35,
"G0501290","1990","Arkansas","05","050","Searcy County","129","1290","Searcy County",3783,2,35,9,,3967,0,31,14,
"G0501310","1990","Arkansas","05","050","Sebastian County","131","1310","Sebastian County",42751,2738,674,1981,,45968,2928,722,1828,
"G0501330","1990","Arkansas","05","050","Sevier County","133","1330","Sevier County",5879,373,104,381,,6202,414,118,166,
"G0501350","1990","Arkansas","05","050","Sharp County","135","1350","Sharp County",6605,34,57,12,,7303,32,48,18,
"G0501370","1990","Arkansas","05","050","Stone County","137","1370","Stone County",4737,3,25,13,,4950,5,29,13,
"G0501390","1990","Arkansas","05","050","Union County","139","1390","Union County",15457,6520,45,79,,16957,7541,34,86,
"G0501410","1990","Arkansas","05","050","Van Buren County","141","1410","Van Buren County",6813,21,42,23,,7032,20,34,23,
"G0501430","1990","Arkansas","05","050","Washington County","143","1430","Washington County",53585,859,779,837,,55158,817,707,667,
"G0501450","1990","Arkansas","05","050","White County","145","1450","White County",25488,821,114,116,,27021,882,119,115,
"G0501470","1990","Arkansas","05","050","Woodruff County","147","1470","Woodruff County",3145,1315,8,5,,3357,1676,7,7,
"G0501490","1990","Arkansas","05","050","Yell County","149","1490","Yell County",8338,186,37,80,,8834,185,38,61,
"G0600010","1990","California","06","060","Alameda County","001","0010","Alameda County",377413,108957,4338,139634,,384402,120292,4556,139590,
"G0600030","1990","California","06","060","Alpine County","003","0030","Alpine County",436,6,136,12,,370,0,145,8,
"G0600050","1990","California","06","060","Amador County","005","0050","Amador County",14257,1646,238,771,,12637,36,255,199,
"G0600070","1990","California","06","060","Butte County","007","0070","Butte County",80376,1264,1559,6047,,84824,1097,1682,5271,
"G0600090","1990","California","06","060","Calaveras County","009","0090","Calaveras County",15139,126,345,271,,15470,58,337,252,
"G0600110","1990","California","06","060","Colusa County","011","0110","Colusa County",6197,59,175,1888,,6245,37,168,1506,
"G0600130","1990","California","06","060","Contra Costa County","013","0130","Contra Costa County",299514,35313,2629,55992,,311489,39264,2707,56824,
"G0600150","1990","California","06","060","Del Norte County","015","0150","Del Norte County",10719,819,742,464,,9491,39,752,434,
"G0600170","1990","California","06","060","El Dorado County","017","0170","El Dorado County",59403,370,666,2579,,59715,236,685,2341,
"G0600190","1990","California","06","060","Fresno County","019","0190","Fresno County",205763,15937,3368,105998,,217076,17486,3751,98111,
"G0600210","1990","California","06","060","Glenn County","021","0210","Glenn County",10452,84,236,1603,,10724,53,275,1371,
"G0600230","1990","California","06","060","Humboldt County","023","0230","Humboldt County",53609,577,3108,1851,,54272,383,3460,1858,
"G0600250","1990","California","06","060","Imperial County","025","0250","Imperial County",36591,1392,873,14972,,37024,1230,986,16235,
"G0600270","1990","California","06","060","Inyo County","027","0270","Inyo County",7700,56,874,333,,8077,23,952,266,
"G0600290","1990","California","06","060","Kern County","029","0290","Kern County",187620,15773,3449,67147,,190859,14358,3577,60694,
"G0600310","1990","California","06","060","Kings County","031","0310","Kings County",33954,5308,544,14943,,31212,2935,589,11984,
"G0600330","1990","California","06","060","Lake County","033","0330","Lake County",22582,479,553,1166,,23904,454,606,887,
"G0600350","1990","California","06","060","Lassen County","035","0350","Lassen County",13599,1597,438,474,,10616,122,416,336,
"G0600370","1990","California","06","060","Los Angeles County","037","0370","Los Angeles County",2506766,470073,22495,1422064,,2528337,522901,23013,1367515,
"G0600390","1990","California","06","060","Madera County","039","0390","Madera County",31412,1167,696,10936,,31957,1327,722,9873,
"G0600410","1990","California","06","060","Marin County","041","0410","Marin County",98791,5598,341,9271,,105337,2574,448,7736,
"G0600430","1990","California","06","060","Mariposa County","043","0430","Mariposa County",6629,104,323,165,,6592,18,316,155,
"G0600450","1990","California","06","060","Mendocino County","045","0450","Mendocino County",35677,331,1599,2440,,36349,176,1705,2068,
"G0600470","1990","California","06","060","Merced County","047","0470","Merced County",59999,4373,746,24966,,60281,4150,770,23118,
"G0600490","1990","California","06","060","Modoc County","049","0490","Modoc County",4430,62,208,234,,4373,16,198,157,
"G0600510","1990","California","06","060","Mono County","051","0510","Mono County",5034,29,173,180,,4195,14,195,136,
"G0600530","1990","California","06","060","Monterey County","053","0530","Monterey County",115887,13854,1564,53450,,111121,8995,1453,49336,
"G0600550","1990","California","06","060","Napa County","055","0550","Napa County",48190,711,407,5584,,50279,493,421,4680,
"G0600570","1990","California","06","060","Nevada County","057","0570","Nevada County",37505,127,435,532,,38866,53,414,578,
"G0600590","1990","California","06","060","Orange County","059","0590","Orange County",946784,22700,6145,238431,,947809,19981,6020,222686,
"G0600610","1990","California","06","060","Placer County","061","0610","Placer County",80063,584,926,4005,,81885,449,935,3949,
"G0600630","1990","California","06","060","Plumas County","063","0630","Plumas County",9253,84,284,186,,9337,68,320,207,
"G0600650","1990","California","06","060","Riverside County","065","0650","Riverside County",443247,32650,5679,103822,,451520,30941,5815,96739,
"G0600670","1990","California","06","060","Sacramento County","067","0670","Sacramento County",381756,48522,5794,73547,,400570,48607,6274,76149,
"G0600690","1990","California","06","060","San Benito County","069","0690","San Benito County",12813,108,167,5459,,12804,96,186,5064,
"G0600710","1990","California","06","060","San Bernardino County","071","0710","San Bernardino County",515526,58104,6658,130519,,519802,56830,6753,124188,
"G0600730","1990","California","06","060","San Diego County","073","0730","San Diego County",953663,86397,10527,222340,,918593,72909,9539,224048,
"G0600750","1990","California","06","060","San Francisco County","075","0750","San Francisco County",198845,38744,1797,123111,,188938,40295,1659,130570,
"G0600770","1990","California","06","060","San Joaquin County","077","0770","San Joaquin County",177412,14271,2537,49009,,175757,12823,2548,46271,
"G0600790","1990","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo County",97611,4502,1129,8807,,96008,1225,1074,6806,
"G0600810","1990","California","06","060","San Mateo County","081","0810","San Mateo County",230261,17754,1482,70691,,236624,17529,1505,73777,
"G0600830","1990","California","06","060","Santa Barbara County","083","0830","Santa Barbara County",141189,5832,1684,36898,,144272,4570,1667,33496,
"G0600850","1990","California","06","060","Santa Clara County","085","0850","Santa Clara County",521451,29375,4550,204127,,510739,26836,4719,195780,
"G0600870","1990","California","06","060","Santa Cruz County","087","0870","Santa Cruz County",95010,1498,876,16821,,97839,1134,945,15611,
"G0600890","1990","California","06","060","Shasta County","089","0890","Shasta County",67434,605,1915,2068,,70543,476,2039,1956,
"G0600910","1990","California","06","060","Sierra County","091","0910","Sierra County",1588,5,42,29,,1587,1,31,35,
"G0600930","1990","California","06","060","Siskiyou County","093","0930","Siskiyou County",19690,355,878,514,,20415,336,919,424,
"G0600950","1990","California","06","060","Solano County","095","0950","Solano County",116363,24210,1520,32253,,110929,21629,1550,31967,
"G0600970","1990","California","06","060","Sonoma County","097","0970","Sonoma County",171213,3059,2098,13902,,180437,2488,2299,12726,
"G0600990","1990","California","06","060","Stanislaus County","099","0990","Stanislaus County",144658,3352,1964,32139,,152657,3098,2075,30579,
"G0601010","1990","California","06","060","Sutter County","101","1010","Sutter County",24165,538,422,6744,,25356,503,519,6168,
"G0601030","1990","California","06","060","Tehama County","103","1030","Tehama County",22243,182,444,1533,,23350,74,522,1277,
"G0601050","1990","California","06","060","Trinity County","105","1050","Trinity County",6153,46,318,148,,5980,7,306,105,
"G0601070","1990","California","06","060","Tulare County","107","1070","Tulare County",99789,2351,1941,51427,,105046,2267,2051,47049,
"G0601090","1990","California","06","060","Tuolumne County","109","1090","Tuolumne County",22025,1506,508,1660,,21767,45,472,473,
